1.000000000000000000e+00 1.000000000000000000e+00 9.706521525094525815e-01
2.000000000000000000e+00 8.612944248932002380e-04 9.999584375743025833e-01
3.000000000000000000e+00 1.726277398960553424e-09 9.999989239744945246e-01
4.000000000000000000e+00 1.155661384713831068e-12 9.999999534220682662e-01
5.000000000000000000e+00 6.778192242434445060e-16 9.999999613776683338e-01
6.000000000000000000e+00 3.865633606808043660e-16 9.999999667566376038e-01
7.000000000000000000e+00 2.156419264768986203e-16 9.999999701758618409e-01
8.000000000000000000e+00 1.931108313638483757e-16 9.999999736112071824e-01
9.000000000000000000e+00 1.135035004937260819e-16 9.999999758574051878e-01
1.000000000000000000e+01 8.121080363265051408e-17 9.999999776023643649e-01
1.100000000000000000e+01 6.595132284330684284e-17 9.999999791265058446e-01
1.200000000000000000e+01 6.257704693531740176e-17 9.999999806835377925e-01
1.300000000000000000e+01 5.620951669752888337e-17 9.999999821978597936e-01
1.400000000000000000e+01 5.487252649191495684e-17 9.999999838122370921e-01
1.500000000000000000e+01 5.421218053844814049e-17 9.999999855836382290e-01
1.600000000000000000e+01 4.746976490450044646e-17 9.999999873365991165e-01
1.700000000000000000e+01 4.426746443986480578e-17 9.999999892252954270e-01
1.800000000000000000e+01 4.352051335589989163e-17 9.999999914809775126e-01
1.900000000000000000e+01 3.634925396497257182e-17 9.999999939813214445e-01
2.000000000000000000e+01 3.622449112055122741e-17 1.000000000000000000e+00
